{'tip': '小贴士：“显示”：“示”字旁即“礻”，“上海”简称“申”，合为“神”，“连日”扣“田”，加上“雨”为“雷”字，合为“雷神”。', 'mystery': '谜面：显示上海连日有雨 （打一电影名）', 'answer': '谜底：雷神'}
{'tip': '', 'mystery': '谜面：内心已释疑 （四字电影）', 'answer': '谜底：妻子的信'}
{'tip': '', 'mystery': '谜面：怕就怕久不分胜负 （外国电影）', 'answer': '谜底：恐惧的总和'}
{'tip': '', 'mystery': '谜面：庞士元议取西蜀 （五字电影）', 'answer': '谜底：军统特遣队'}
{'tip': '', 'mystery': '谜面：炮兵营 （四字电影）', 'answer': '谜底：二子开店'}
{'tip': '', 'mystery': '谜面：频念紧箍咒 （外国电影）', 'answer': '谜底：苦行者'}
{'tip': '', 'mystery': '谜面：千金散尽 （中国电影）', 'answer': '谜底：失足的女人'}
{'tip': '', 'mystery': '谜面：千金散尽还复来·燕尾格 （外国电影）', 'answer': '谜底：重归于好'}
{'tip': '', 'mystery': '谜面：悄悄话 （四字电影）', 'answer': '谜底：秘密小道'}
{'tip': '', 'mystery': '谜面：秋后去陇西 （二字电影）', 'answer': '谜底：火龙'}
{'tip': '', 'mystery': '谜面：曲终 （电影名二）', 'answer': '谜底：失去的歌声，绝唱'}
{'tip': '', 'mystery': '谜面：全忘得一干二净 （电影名）', 'answer': '谜底：总统失踪记'}
{'tip': '', 'mystery': '谜面：全乡都是男子汉 （中国电影）', 'answer': '谜底：寡妇村'}
{'tip': '', 'mystery': '谜面：年年有余 （中国电影）', 'answer': '谜底：我两岁'}
{'tip': '', 'mystery': '谜面：宁可食无肉，不可居无竹 （外国电影）', 'answer': '谜底：简·爱'}
{'tip': '', 'mystery': '谜面：七月七日长生殿 （电影名二）', 'answer': '谜底：子夜，阴云'}
{'tip': '', 'mystery': '谜面：其人虽已没 （三字电影）', 'answer': '谜底：不了情'}
{'tip': '', 'mystery': '谜面：抢救室 （中国电影）', 'answer': '谜底：生死之间'}
{'tip': '', 'mystery': '谜面：任尔东西南北吹 （中国电影）', 'answer': '谜底：何处不风流'}
{'tip': '', 'mystery': '谜面：梅里美 （三字电影）', 'answer': '谜底：花枝俏'}
{'tip': '', 'mystery': '谜面：莫叫枝上啼 （二字电影）', 'answer': '谜底：怪音'}
{'tip': '', 'mystery': '谜面：桐花曲 （五字电影）', 'answer': '谜底：四月的旋律'}
{'tip': '', 'mystery': '谜面：晚间消费 （外国电影）', 'answer': '谜底：夜之花'}
{'tip': '', 'mystery': '谜面：万家灯火闹元宵 （电影名二）', 'answer': '谜底：不夜城，乡情'}
{'tip': '', 'mystery': '谜面：万里寄相思 （中国电影）', 'answer': '谜底：遥远的爱'}
{'tip': '', 'mystery': '谜面：万绿丛中一点红 （四字电影）', 'answer': '谜底：碧海丹心'}
{'tip': '', 'mystery': '谜面：万事俱备 （电影名二）', 'answer': '谜底：等，风从东方来'}
{'tip': '', 'mystery': '谜面：王祥缘何求鲤 （电影名三）', 'answer': '谜底：追鱼，正是为了爱，母亲'}
{'tip': '', 'mystery': '谜面：往来不逢人 （三字电影）', 'answer': '谜底：独行客'}
{'tip': '', 'mystery': '谜面：望眼欲穿 （三字电影）', 'answer': '谜底：十五贯'}
{'tip': '', 'mystery': '谜面：乌衣巷口夕阳斜 （电影名二）', 'answer': '谜底：小街，傍晚'}
{'tip': '', 'mystery': '谜面：午后出生 （外国电影）', 'answer': '谜底：未来世界'}
{'tip': '', 'mystery': '谜面：夕贬潮阳 （中国电影）', 'answer': '谜底：八千里路云和月'}
{'tip': '', 'mystery': '谜面：严禁械斗 （中国电影）', 'answer': '谜底：爸爸不及格'}
{'tip': '', 'mystery': '谜面：严厉批评 （七字电影）', 'answer': '谜底：道是无情却有情'}
{'tip': '', 'mystery': '谜面：痛饮黄龙 （三字电影）', 'answer': '谜底：飞燕曲'}
{'tip': '', 'mystery': '谜面：梅开二度 （三字电影）', 'answer': '谜底：再生花'}
{'tip': '', 'mystery': '谜面：天下归一 （五字电影）', 'answer': '谜底：非常大总统'}
{'tip': '', 'mystery': '谜面：天子呼来不上船 （中国电影）', 'answer': '谜底：大漠紫禁令'}
